NAME, RAJ, DECJ
J1651-5222, 16:51:42.962, -52:22:58.38
J1651-7642, 16:51:07.87, -76:42:39.5
J1652-1400, 16:52:16.677, -14:00:27.4
J1654-3710, 16:54:44.426, -37:10:57.1
J1655-3048, 16:55:24.53, -30:48:42
J1700-3312, 17:00:52.98100671, -33:12:46.50573335
J1700-3919, 17:00:22.27, -39:19:00.02
J1700-4939, 17:00:22.56, -49:39:15
J1701-3130, 17:01:43.513, -31:30:36.7
J1703-1846, 17:03:51.0915, -18:46:14.845
J1703-3241, 17:03:22.54059999, -32:41:48.03731694
J1703-4442, 17:03:20.59, -44:42:42
J1704-5236, 17:04:40.569, -52:36:57.4
J1705-1906, 17:05:36.0991315, -19:06:38.65066471
J1705-3423, 17:05:42.362, -34:23:43.1
J1707-4417, 17:07:41.41, -44:17:19
J1707-4729, 17:07:15.547, -47:29:34.5
J1709-3841, 17:09:15.99, -38:41:17
J1709-4429, 17:09:42.728, -44:29:08.24
J1711-1509, 17:11:55.05909728, -15:09:39.75159063
J1714-1054, 17:14:40.122, -10:54:10.9
J1716-4111, 17:16:44.307, -41:11:09.5
J1717-3425, 17:17:20.24424568, -34:24:59.56845013
J1720+2150, 17:20:01.30, 21:50:12.8
J1720-0212, 17:20:57.269, -02:12:23.9
J1720-1633, 17:20:25.20570148, -16:33:33.72683985
J1720-2933, 17:20:34.11713247, -29:33:16.24160764
J1720-3659, 17:20:01.976, -36:59:06.5
J1722-3207, 17:22:02.959, -32:07:45.3
J1723-3659, 17:23:07.58, -36:59:14.2
J1727-2739, 17:27:30.98, -27:38:53
J1733-3716, 17:33:26.7624, -37:16:55.23
J1733-4005, 17:33:58.64, -40:05:39.7
J1734-0212, 17:34:45.66014178, -02:12:39.07677209
J1735-0724, 17:35:04.9730, -07:24:52.130
J1737-3555, 17:37:40.039, -35:55:43.8
J1738-3211, 17:38:54.18499225, -32:11:53.64711011
J1739+0612, 17:39:17.966, +06:12:28.4
J1739-1313, 17:39:57.821, -13:13:18.6
J1739-3951, 17:39:38.25, -39:52:00.3
J1740+1311, 17:40:07.3455, 13:11:56.69
